Date,MAGS.Close,TSLA.Close,GOOG.Close,AAPL.Close,MSFT.Close,AMZN.Close,META.Close,NVDA.Close
02/01/2024,32.7,248.4,139.6,185.6,370.9,149.9,346.3,48.2
03/01/2024,32.5,238.4,140.4,184.3,370.6,148.5,344.5,47.6
04/01/2024,32.3,237.9,138.0,181.9,367.9,144.6,347.1,48.0
05/01/2024,32.4,237.5,137.4,181.2,367.8,145.2,352.0,49.1
08/01/2024,33.4,240.4,140.5,185.6,374.7,149.1,358.7,52.3
09/01/2024,33.4,235.0,142.6,185.1,375.8,151.4,357.4,53.1
10/01/2024,33.9,233.9,143.8,186.2,382.8,153.7,370.5,54.3
11/01/2024,33.9,227.2,143.7,185.6,384.6,155.2,369.7,54.8
12/01/2024,33.8,218.9,144.2,185.9,388.5,154.6,374.5,54.7
16/01/2024,33.8,219.9,144.1,183.6,390.3,153.2,367.5,56.4
17/01/2024,33.6,215.6,142.9,182.7,389.5,151.7,368.4,56.1
18/01/2024,34.1,211.9,145.0,188.6,393.9,153.5,376.1,57.1
19/01/2024,34.7,212.2,148.0,191.6,398.7,155.3,383.5,59.5
22/01/2024,34.6,208.8,147.7,193.9,396.5,154.8,381.8,59.7
23/01/2024,34.8,209.1,148.7,195.2,398.9,156.0,385.2,59.9
24/01/2024,35.1,207.8,150.4,194.5,402.6,156.9,390.7,61.4
25/01/2024,34.8,182.6,153.6,194.2,404.9,157.8,393.2,61.6
26/01/2024,34.8,183.3,153.8,192.4,403.9,159.1,394.1,61.0
29/01/2024,35.4,190.9,154.8,191.7,409.7,161.3,401.0,62.5
30/01/2024,35.2,191.6,153.1,188.0,408.6,159.0,400.1,62.8
31/01/2024,34.1,187.3,141.8,184.4,397.6,155.2,390.1,61.5
01/02/2024,34.6,188.9,142.7,186.9,403.8,159.3,394.8,63.0
02/02/2024,36.5,187.9,143.5,185.9,411.2,171.8,475.0,66.2
05/02/2024,36.5,181.1,144.9,187.7,405.6,170.3,459.4,69.3
06/02/2024,36.3,185.1,145.4,189.3,405.5,169.1,454.7,68.2
07/02/2024,37.0,187.6,146.7,189.4,414.0,170.5,469.6,70.1
08/02/2024,37.0,189.6,147.2,188.3,414.1,169.8,470.0,69.6
09/02/2024,37.6,193.6,150.2,188.9,420.5,174.4,468.1,72.1
12/02/2024,37.3,188.1,148.7,187.1,415.3,172.3,468.9,72.2
13/02/2024,36.7,184.0,146.4,185.0,406.3,168.6,460.1,72.1
14/02/2024,37.3,188.7,147.1,184.1,409.5,171.0,473.3,73.9
15/02/2024,37.3,200.4,143.9,183.9,406.6,169.8,484.0,72.7
16/02/2024,37.0,199.9,141.8,182.3,404.1,169.5,473.3,72.6
20/02/2024,36.4,193.8,142.2,181.6,402.8,167.1,471.8,69.5
21/02/2024,36.4,194.8,143.8,182.3,402.2,168.6,468.0,67.5
