period,odds,score,matchID,odds_home,odds_draw,odds_away,score_home,score_away,home_name,home_short,away_name,away_short
12.09.20 ,5.90 / 4.28 / 1.56,0:3,4089,5.90,4.28,1.56,0,3,Fulham,FUL ,Arsenal,ARS 
12.09.20 ,3.17 / 3.18 / 2.39,1:0,2304,3.17,3.18,2.39,1,0,Crystal Palace,CRY ,Southampton,SOU 
12.09.20 ,1.27 / 6.15 / 10.15,4:3,1396,1.27,6.15,10.15,4,3,Liverpool,LIV ,Leeds United,LEE 
12.09.20 ,2.14 / 3.44 / 3.44,0:2,4090,2.14,3.44,3.44,0,2,West Ham,WHU ,Newcastle,NEW 
13.09.20 ,3.87 / 3.57 / 1.97,0:3,4091,3.87,3.57,1.97,0,3,West Brom,WBA ,Leicester City,LEI 
13.09.20 ,1.88 / 3.56 / 4.25,0:1,4092,1.88,3.56,4.25,0,1,Tottenham,TOT ,Everton,EVE 
14.09.20 ,3.35 / 3.00 / 2.40,0:2,4093,3.35,3.00,2.40,0,2,Sheffield Utd,SHE ,Wolverhampton,WOL 
14.09.20 ,5.10 / 4.12 / 1.64,1:3,4094,5.10,4.12,1.64,1,3,Brighton Hove,BHA ,Chelsea,CHE 
19.09.20 ,1.55 / 4.23 / 5.98,5:2,4095,1.55,4.23,5.98,5,2,Everton,EVE ,West Brom,WBA 
19.09.20 ,1.61 / 4.00 / 5.56,4:3,4096,1.61,4.00,5.56,4,3,Leeds United,LEE ,Fulham,FUL 
19.09.20 ,1.32 / 5.42 / 9.67,1:3,4097,1.32,5.42,9.67,1,3,Man United,MUN ,Crystal Palace,CRY 
19.09.20 ,1.53 / 4.42 / 5.97,2:1,4098,1.53,4.42,5.97,2,1,Arsenal,ARS ,West Ham,WHU 
20.09.20 ,3.00 / 3.31 / 2.41,2:5,4099,3.00,3.31,2.41,2,5,Southampton,SOU ,Tottenham,TOT 
20.09.20 ,2.63 / 3.10 / 2.87,0:3,4100,2.63,3.10,2.87,0,3,Newcastle,NEW ,Brighton Hove,BHA 
20.09.20 ,3.19 / 3.70 / 2.15,0:2,1397,3.19,3.70,2.15,0,2,Chelsea,CHE ,Liverpool,LIV 
20.09.20 ,1.62 / 3.93 / 5.66,4:2,4101,1.62,3.93,5.66,4,2,Leicester City,LEI ,Burnley,BUR 
21.09.20 ,2.46 / 3.16 / 3.15,1:0,4102,2.46,3.16,3.15,1,0,Aston Villa,AST ,Sheffield Utd,SHE 
21.09.20 ,6.89 / 4.50 / 1.48,1:3,4103,6.89,4.50,1.48,1,3,Wolverhampton,WOL ,Man City,MCI 
26.09.20 ,5.23 / 3.96 / 1.66,2:3,4104,5.23,3.96,1.66,2,3,Brighton Hove,BHA ,Man United,MUN 
26.09.20 ,3.76 / 3.36 / 2.08,1:2,4105,3.76,3.36,2.08,1,2,Crystal Palace,CRY ,Everton,EVE 
26.09.20 ,7.86 / 5.00 / 1.39,3:3,4106,7.86,5.00,1.39,3,3,West Brom,WBA ,Chelsea,CHE 
26.09.20 ,3.21 / 3.26 / 2.34,0:1,4107,3.21,3.26,2.34,0,1,Burnley,BUR ,Southampton,SOU 
27.09.20 ,2.73 / 3.33 / 2.63,0:1,4108,2.73,3.33,2.63,0,1,Sheffield Utd,SHE ,Leeds United,LEE 
27.09.20 ,1.46 / 4.55 / 7.06,1:1,4109,1.46,4.55,7.06,1,1,Tottenham,TOT ,Newcastle,NEW 
27.09.20 ,1.31 / 5.79 / 9.34,2:5,4110,1.31,5.79,9.34,2,5,Man City,MCI ,Leicester City,LEI 
27.09.20 ,3.71 / 3.38 / 2.07,4:0,4111,3.71,3.38,2.07,4,0,West Ham,WHU ,Wolverhampton,WOL 
28.09.20 ,2.89 / 3.27 / 2.52,0:3,4112,2.89,3.27,2.52,0,3,Fulham,FUL ,Aston Villa,AST 
28.09.20 ,1.47 / 4.69 / 6.30,3:1,1398,1.47,4.69,6.30,3,1,Liverpool,LIV ,Arsenal,ARS 
03.10.20 ,1.41 / 4.92 / 7.57,4:0,4113,1.41,4.92,7.57,4,0,Chelsea,CHE ,Crystal Palace,CRY 
03.10.20 ,1.82 / 3.68 / 4.52,4:2,4114,1.82,3.68,4.52,4,2,Everton,EVE ,Brighton Hove,BHA 
03.10.20 ,7.07 / 5.39 / 1.39,1:1,4115,7.07,5.39,1.39,1,1,Leeds United,LEE ,Man City,MCI 
03.10.20 ,2.50 / 3.18 / 3.01,3:1,4116,2.50,3.18,3.01,3,1,Newcastle,NEW ,Burnley,BUR 
04.10.20 ,1.78 / 3.79 / 4.51,2:0,4118,1.78,3.79,4.51,2,0,Southampton,SOU ,West Brom,WBA 
04.10.20 ,1.68 / 4.11 / 4.83,0:3,4117,1.68,4.11,4.83,0,3,Leicester City,LEI ,West Ham,WHU 
04.10.20 ,1.55 / 4.12 / 6.26,2:1,4120,1.55,4.12,6.26,2,1,Arsenal,ARS ,Sheffield Utd,SHE 
04.10.20 ,1.51 / 4.09 / 7.14,1:0,4119,1.51,4.09,7.14,1,0,Wolverhampton,WOL ,Fulham,FUL 
04.10.20 ,1.93 / 3.65 / 3.91,1:6,4121,1.93,3.65,3.91,1,6,Man United,MUN ,Tottenham,TOT 
04.10.20 ,7.47 / 4.66 / 1.43,7:2,1399,7.47,4.66,1.43,7,2,Aston Villa,AST ,Liverpool,LIV 
17.10.20 ,3.85 / 3.98 / 1.86,2:2,1400,3.85,3.98,1.86,2,2,Everton,EVE ,Liverpool,LIV 
17.10.20 ,1.50 / 4.63 / 6.08,3:3,4122,1.50,4.63,6.08,3,3,Chelsea,CHE ,Southampton,SOU 
17.10.20 ,1.42 / 5.08 / 6.82,1:0,4123,1.42,5.08,6.82,1,0,Man City,MCI ,Arsenal,ARS 
17.10.20 ,4.93 / 4.13 / 1.66,1:4,4124,4.93,4.13,1.66,1,4,Newcastle,NEW ,Man United,MUN 
18.10.20 ,2.28 / 3.14 / 3.46,1:1,4125,2.28,3.14,3.46,1,1,Sheffield Utd,SHE ,Fulham,FUL 
18.10.20 ,3.10 / 3.18 / 2.45,1:1,4126,3.10,3.18,2.45,1,1,Crystal Palace,CRY ,Brighton Hove,BHA 
18.10.20 ,1.63 / 4.14 / 5.32,3:3,4127,1.63,4.14,5.32,3,3,Tottenham,TOT ,West Ham,WHU 
18.10.20 ,2.37 / 3.55 / 2.93,0:1,4128,2.37,3.55,2.93,0,1,Leicester City,LEI ,Aston Villa,AST 
19.10.20 ,2.57 / 3.25 / 2.87,0:0,4129,2.57,3.25,2.87,0,0,West Brom,WBA ,Burnley,BUR 
19.10.20 ,2.46 / 3.34 / 2.94,0:1,4130,2.46,3.34,2.94,0,1,Leeds United,LEE ,Wolverhampton,WOL 
23.10.20 ,2.30 / 3.50 / 3.04,0:3,4131,2.30,3.50,3.04,0,3,Aston Villa,AST ,Leeds United,LEE 
24.10.20 ,7.40 / 5.20 / 1.39,1:1,4132,7.40,5.20,1.39,1,1,West Ham,WHU ,Man City,MCI 
24.10.20 ,2.84 / 3.17 / 2.64,1:2,4133,2.84,3.17,2.64,1,2,Fulham,FUL ,Crystal Palace,CRY 
24.10.20 ,2.46 / 3.59 / 2.77,0:0,4134,2.46,3.59,2.77,0,0,Man United,MUN ,Chelsea,CHE 
24.10.20 ,1.25 / 6.30 / 11.47,2:1,1402,1.25,6.30,11.47,2,1,Liverpool,LIV ,Sheffield Utd,SHE 
25.10.20 ,2.77 / 3.42 / 2.55,2:0,4135,2.77,3.42,2.55,2,0,Southampton,SOU ,Everton,EVE 
25.10.20 ,1.79 / 3.44 / 5.07,1:1,4136,1.79,3.44,5.07,1,1,Wolverhampton,WOL ,Newcastle,NEW 
25.10.20 ,1.93 / 3.71 / 3.87,0:1,4137,1.93,3.71,3.87,0,1,Arsenal,ARS ,Leicester City,LEI 
26.10.20 ,1.74 / 3.95 / 4.58,1:1,4138,1.74,3.95,4.58,1,1,Brighton Hove,BHA ,West Brom,WBA 
26.10.20 ,5.45 / 4.04 / 1.62,0:1,4139,5.45,4.04,1.62,0,1,Burnley,BUR ,Tottenham,TOT 
30.10.20 ,2.07 / 3.11 / 4.19,2:0,4140,2.07,3.11,4.19,2,0,Wolverhampton,WOL ,Crystal Palace,CRY 
31.10.20 ,10.43 / 6.05 / 1.28,0:1,4141,10.43,6.05,1.28,0,1,Sheffield Utd,SHE ,Man City,MCI 
31.10.20 ,5.59 / 4.24 / 1.59,0:3,4142,5.59,4.24,1.59,0,3,Burnley,BUR ,Chelsea,CHE 
31.10.20 ,1.41 / 5.15 / 6.95,2:1,1405,1.41,5.15,6.95,2,1,Liverpool,LIV ,West Ham,WHU 
01.11.20 ,2.48 / 3.56 / 2.77,3:4,4143,2.48,3.56,2.77,3,4,Aston Villa,AST ,Southampton,SOU 
